Year,FSM,VR1 Band,VR Band of Student,Ethnic group of student,School denomination,Exam Score,Year_FEMALE,FSM_FEMALE,VR1 Band_FEMALE,VR Band of Student_FEMALE,Ethnic group of student_FEMALE,School denomination_FEMALE,Year_MALE,FSM_MALE,VR1 Band_MALE,VR Band of Student_MALE,Ethnic group of student_MALE,School denomination_MALE,Year_MIXED,FSM_MIXED,VR1 Band_MIXED,VR Band of Student_MIXED,Ethnic group of student_MIXED,School denomination_MIXED
1,24,21,2,1,2,20,0,0,0,0,0,0,1,24,21,2,1,2,0,0,0,0,0,0
1,24,21,3,1,2,12,0,0,0,0,0,0,1,24,21,3,1,2,0,0,0,0,0,0
1,24,21,1,1,2,16,0,0,0,0,0,0,1,24,21,1,1,2,0,0,0,0,0,0
1,24,21,3,5,2,10,0,0,0,0,0,0,1,24,21,3,5,2,0,0,0,0,0,0
1,24,21,3,1,2,9,0,0,0,0,0,0,1,24,21,3,1,2,0,0,0,0,0,0
1,24,21,3,1,2,19,0,0,0,0,0,0,1,24,21,3,1,2,0,0,0,0,0,0
1,24,21,3,2,2,19,0,0,0,0,0,0,1,24,21,3,2,2,0,0,0,0,0,0
1,24,21,3,5,2,18,0,0,0,0,0,0,1,24,21,3,5,2,0,0,0,0,0,0
1,24,21,3,1,2,10,0,0,0,0,0,0,1,24,21,3,1,2,0,0,0,0,0,0
1,24,21,3,1,2,22,0,0,0,0,0,0,1,24,21,3,1,2,0,0,0,0,0,0
1,24,21,2,1,2,52,0,0,0,0,0,0,1,24,21,2,1,2,0,0,0,0,0,0
1,24,21,2,2,2,9,0,0,0,0,0,0,1,24,21,2,2,2,0,0,0,0,0,0
1,24,21,1,5,2,1,0,0,0,0,0,0,1,24,21,1,5,2,0,0,0,0,0,0
1,24,21,3,1,2,13,0,0,0,0,0,0,1,24,21,3,1,2,0,0,0,0,0,0
1,24,21,1,5,2,9,0,0,0,0,0,0,1,24,21,1,5,2,0,0,0,0,0,0
1,24,21,3,1,2,12,0,0,0,0,0,0,1,24,21,3,1,2,0,0,0,0,0,0
1,24,21,3,1,2,24,0,0,0,0,0,0,1,24,21,3,1,2,0,0,0,0,0,0
1,24,21,2,7,2,25,0,0,0,0,0,0,1,24,21,2,7,2,0,0,0,0,0,0
1,24,21,3,5,2,6,0,0,0,0,0,0,1,24,21,3,5,2,0,0,0,0,0,0
1,24,21,3,1,2,23,0,0,0,0,0,0,1,24,21,3,1,2,0,0,0,0,0,0
1,24,21,3,2,2,9,0,0,0,0,0,0,1,24,21,3,2,2,0,0,0,0,0,0
1,24,21,3,1,2,4,0,0,0,0,0,0,1,24,21,3,1,2,0,0,0,0,0,0
1,24,21,2,1,2,27,0,0,0,0,0,0,1,24,21,2,1,2,0,0,0,0,0,0
1,24,21,1,1,2,12,0,0,0,0,0,0,1,24,21,1,1,2,0,0,0,0,0,0
1,24,21,2,1,2,31,0,0,0,0,0,0,1,24,21,2,1,2,0,0,0,0,0,0
1,24,21,3,5,2,3,0,0,0,0,0,0,1,24,21,3,5,2,0,0,0,0,0,0
1,24,21,3,3,2,15,0,0,0,0,0,0,1,24,21,3,3,2,0,0,0,0,0,0
1,24,21,3,5,2,28,0,0,0,0,0,0,1,24,21,3,5,2,0,0,0,0,0,0
1,24,21,3,5,2,18,0,0,0,0,0,0,1,24,21,3,5,2,0,0,0,0,0,0
1,24,21,2,1,2,20,0,0,0,0,0,0,1,24,21,2,1,2,0,0,0,0,0,0
1,24,21,1,1,2,6,0,0,0,0,0,0,1,24,21,1,1,2,0,0,0,0,0,0
2,37,19,1,5,2,11,0,0,0,0,0,0,2,37,19,1,5,2,0,0,0,0,0,0
2,37,19,2,6,2,39,0,0,0,0,0,0,2,37,19,2,6,2,0,0,0,0,0,0
2,37,19,1,5,2,10,0,0,0,0,0,0,2,37,19,1,5,2,0,0,0,0,0,0
2,37,19,3,1,2,22,0,0,0,0,0,0,2,37,19,3,1,2,0,0,0,0,0,0
2,37,19,3,5,2,8,0,0,0,0,0,0,2,37,19,3,5,2,0,0,0,0,0,0
2,37,19,3,9,2,32,0,0,0,0,0,0,2,37,19,3,9,2,0,0,0,0,0,0
2,37,19,3,5,2,20,0,0,0,0,0,0,2,37,19,3,5,2,0,0,0,0,0,0
2,37,19,3,1,2,21,0,0,0,0,0,0,2,37,19,3,1,2,0,0,0,0,0,0
2,37,19,1,5,2,18,0,0,0,0,0,0,2,37,19,1,5,2,0,0,0,0,0,0
2,37,19,3,1,2,23,0,0,0,0,0,0,2,37,19,3,1,2,0,0,0,0,0,0
2,37,19,1,1,2,13,0,0,0,0,0,0,2,37,19,1,1,2,0,0,0,0,0,0
2,37,19,1,5,2,4,0,0,0,0,0,0,2,37,19,1,5,2,0,0,0,0,0,0
2,37,19,3,5,2,17,0,0,0,0,0,0,2,37,19,3,5,2,0,0,0,0,0,0
2,37,19,3,5,2,11,0,0,0,0,0,0,2,37,19,3,5,2,0,0,0,0,0,0
2,37,19,1,5,2,4,0,0,0,0,0,0,2,37,19,1,5,2,0,0,0,0,0,0
2,37,19,3,1,2,29,0,0,0,0,0,0,2,37,19,3,1,2,0,0,0,0,0,0
2,37,19,2,1,2,30,0,0,0,0,0,0,2,37,19,2,1,2,0,0,0,0,0,0
2,37,19,3,5,2,8,0,0,0,0,0,0,2,37,19,3,5,2,0,0,0,0,0,0
2,37,19,3,5,2,30,0,0,0,0,0,0,2,37,19,3,5,2,0,0,0,0,0,0
2,37,19,3,5,2,3,0,0,0,0,0,0,2,37,19,3,5,2,0,0,0,0,0,0
2,37,19,2,6,2,34,0,0,0,0,0,0,2,37,19,2,6,2,0,0,0,0,0,0
2,37,19,3,1,2,23,0,0,0,0,0,0,2,37,19,3,1,2,0,0,0,0,0,0
2,37,19,3,1,2,17,0,0,0,0,0,0,2,37,19,3,1,2,0,0,0,0,0,0
2,37,19,2,1,2,26,0,0,0,0,0,0,2,37,19,2,1,2,0,0,0,0,0,0
2,37,19,2,1,2,29,0,0,0,0,0,0,2,37,19,2,1,2,0,0,0,0,0,0
2,37,19,3,5,2,13,0,0,0,0,0,0,2,37,19,3,5,2,0,0,0,0,0,0
2,37,19,3,5,2,8,0,0,0,0,0,0,2,37,19,3,5,2,0,0,0,0,0,0
2,37,19,3,1,2,26,0,0,0,0,0,0,2,37,19,3,1,2,0,0,0,0,0,0
