Year,FSM,VR1 Band,VR Band of Student,Ethnic group of student,School denomination,Exam Score,Year_FEMALE,FSM_FEMALE,VR1 Band_FEMALE,VR Band of Student_FEMALE,Ethnic group of student_FEMALE,School denomination_FEMALE,Year_MALE,FSM_MALE,VR1 Band_MALE,VR Band of Student_MALE,Ethnic group of student_MALE,School denomination_MALE,Year_MIXED,FSM_MIXED,VR1 Band_MIXED,VR Band of Student_MIXED,Ethnic group of student_MIXED,School denomination_MIXED
1,24,18,3,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,3,1,1
1,24,18,3,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,3,1,1
1,24,18,3,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,3,1,1
1,24,18,3,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,3,1,1
1,24,18,3,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,3,1,1
1,24,18,3,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,3,1,1
1,24,18,3,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,3,1,1
1,24,18,1,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,1,1,1
1,24,18,3,1,1,26,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,3,1,1
1,24,18,3,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,3,1,1
1,24,18,3,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,3,1,1
1,24,18,2,1,1,24,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,2,1,1
1,24,18,3,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,3,1,1
1,24,18,1,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,1,1,1
1,24,18,2,1,1,31,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,2,1,1
1,24,18,3,5,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,3,5,1
1,24,18,3,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,3,1,1
1,24,18,3,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,3,1,1
1,24,18,2,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,2,1,1
1,24,18,2,1,1,27,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,2,1,1
1,24,18,3,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,3,1,1
1,24,18,3,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,3,1,1
1,24,18,3,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,3,1,1
1,24,18,3,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,3,1,1
1,24,18,3,10,1,18,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,3,10,1
1,24,18,3,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,3,1,1
1,24,18,2,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,2,1,1
1,24,18,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,1,1,1
1,24,18,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,1,1,1
1,24,18,1,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,1,1,1
1,24,18,3,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,3,1,1
1,24,18,3,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,3,1,1
1,24,18,1,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,1,1,1
1,24,18,3,2,1,30,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,3,2,1
1,24,18,2,9,1,27,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,2,9,1
